vx,vy
-0.13174535170107446,0.08702820508766172
-0.26349104714009786,0.17405650261934427
-0.3952367703214592,0.261085007466616
-0.5511712109483478,0.28588819522516024
-0.7041924348516416,0.3248144460398289
-0.8603060338936619,0.3484621648220972
-0.9716305101810601,0.23649070769300368
-0.9910020799794722,0.1337461152397419
-0.9576095728089801,0.28806942103515204
-0.9003336037558543,0.43520938288777455
-0.8206139501951075,0.5714986979307872
-0.7204280224435824,0.6935347195526855
-0.7128036223086348,0.7013675627009289
-0.7078788175954999,0.7063278944105457
-0.7117512946817861,0.7024370921225056
-0.7087665148670116,0.7053925786562901
-0.6360050212470367,0.6411370834850442
-0.5476833211865738,0.5269830780751099
-0.433620139721962,0.4178077457885807
-0.3201622423270369,0.30799892420306896
-0.20654039082335438,0.19836014765578616
-0.09264161905875079,0.08901240010200091
0.020526604807733315,-0.02108506196592866
0.05042897491037185,-0.047210710569295045
-0.0007426984282104532,0.002115819662592354
-0.0009837518170952777,-0.00047936528560189916
4.6837245505105055e-05,2.2822722525285295e-05
-2.2300614271796718e-06,-1.0866231052737307e-06
1.0632041795245127e-07,5.169979717592183e-08
-5.051748405028613e-09,-2.4635073885734593e-09
2.4000580874328107e-10,1.1738753443812395e-10
-1.1399124919989986e-11,-5.591421102399832e-12
5.408670690238295e-13,2.6237288086592937e-13
-2.5691188837221818e-14,-1.1514259764749141e-14
2.54559663590756e-15,-1.0954380885288035e-15
-3.5070322801030206e-16,2.124675796102046e-15
-8.975671931037837e-16,-2.1724704777539673e-15
-1.0504247211603041e-15,-2.758279317285163e-15
3.2655113884127103e-15,2.6441961914868905e-16
-2.343468297440187e-15,5.5427651597389375e-15
-2.42995868103706e-15,-9.731230116706983e-16
1.0913346941912687e-15,8.788165163585382e-17
4.86254980740538e-15,-4.8687338358157664e-15
-2.0473888607841977e-15,3.696842627944113e-16
-2.4744376000780133e-15,5.711828542892998e-15
1.6643186255303153e-15,-3.146872940395438e-15
-1.5278532591472082e-16,-2.0130461601145755e-15
1.468580579894536e-15,4.885904977850555e-17
-7.975035200857898e-16,2.7813832918095606e-15
-2.0143703375764686e-15,-1.6919615811367372e-15
1.267950943335297e-15,-1.3281105980951507e-15
1.904172236245829e-16,1.1070985390205882e-15
1.0759513237717442e-15,2.392552491579694e-15
-1.2717299088846689e-15,2.5485404634060577e-15
-1.4574136416708978e-15,-1.499074404710515e-15
2.6939714649518554e-15,-1.4172781393669562e-15
-5.369039738555137e-16,9.924574329379016e-16
2.4613446781941643e-15,1.8581072110303003e-15
-1.368525268064065e-15,-1.1650365986385917e-15
-2.5594626480685588e-15,2.2585242406323133e-15
1.7966526921224745e-15,9.439091610588639e-16
2.418849258281797e-15,7.30673358283155e-17
-4.057002305558829e-15,3.1146849306081915e-15
-1.0728049125517728e-15,-3.4041472778625447e-15
1.6527304105854731e-15,7.606648611187136e-17
-5.329701122939807e-16,2.724780422458035e-15
2.0078782931966365e-15,7.922989202206457e-16
-4.2981142304894377e-16,-5.599783990925037e-16
-1.0466132737648419e-15,2.7091820642646925e-15
-2.0811581387792342e-15,-4.4031622791663483e-16
2.8964920760131186e-15,-8.797185736013264e-16
-2.4310044305262983e-15,3.9181941861702904e-16
-1.7137158774152197e-17,-7.929595028061432e-16
2.8130955541662236e-15,-2.164077496283707e-15
-2.2908961292644796e-15,-2.8453164875708083e-15
-7.798911537890142e-16,3.0392461351573866e-15
9.919108355643515e-16,-4.0512563738823333e-16
-2.1754714469979326e-15,-1.0950821107247775e-16
7.985727534119293e-16,3.087932556851748e-15
2.5770916675555077e-15,-3.5162575964864657e-15
1.1938729908398443e-16,-2.158215552508591e-16
8.576456433766127e-16,2.8842658759296227e-15
-4.39703658947389e-15,-2.0389092960908913e-15
1.9368553899919715e-15,5.665516783306368e-16
-8.450148016445082e-16,3.725495382731237e-17
3.2405684645728113e-15,2.0402043344898944e-15
-2.357550238951435e-15,-5.2364582169659654e-17
1.190981281600004e-15,2.497552397322493e-15
-1.1110149913109414e-15,-3.040972364293303e-15
-2.7657778742741854e-15,9.438919438678928e-16
1.841041154528081e-15,1.1021921681737443e-15
1.1457241282032214e-15,1.027191967495572e-15
-3.2942604956953875e-16,8.86023761625909e-16
-1.707216856764038e-15,-2.300028357096057e-16
-7.20561409193426e-16,-1.700969700858545e-16
1.5673439634845318e-15,1.75918948534567e-15
2.4842253539485074e-15,-2.271192481943057e-15
-1.2448201994681677e-15,-2.949150183551796e-15
-2.8541708912598663e-16,2.8452526476124113e-15
1.5469192395179618e-15,-2.534087697663411e-15
