vx,vy
0.15446882392941821,-0.03271285312361109
0.30893763207085556,-0.0654257024582976
0.4634060526923992,-0.09813838248470716
0.6212966371400914,-0.09928261687017548
0.7782488957652104,-0.11650866557572857
0.9347827610031018,-0.1371937614749217
0.9886280100965257,-0.15034488306058685
0.9844649633591552,-0.17571470710860768
0.9842868776682016,-0.17655910166536617
0.984281679505325,-0.17658413573435322
0.9697293813250826,-0.2441541266265237
0.9683556511275827,-0.24949531072745537
0.9690603635278985,-0.246906655643483
0.9690154296092605,-0.24697903105711366
0.8948980057430399,-0.22651941167727294
0.7539501620289878,-0.19181587010994583
0.600775443359161,-0.1535023443966456
0.44775323634516984,-0.11457246595315287
0.2948086649475873,-0.07536030899112509
0.14182714306662783,-0.0362867728574598
-0.011135389608877583,0.0028424861150958963
-0.08787514287621129,0.02238106652225563
0.003971147134815792,-0.0010444658713251419
2.3635525109716275e-05,2.8599507116285842e-05
-1.1253545722632369e-06,-1.361661647300238e-06
5.346799218514439e-08,6.485326204945198e-08
-2.5390310578725537e-09,-3.0889854134782007e-09
1.205818142601121e-10,1.4712793359735613e-10
-5.720555521957608e-12,-7.007711952410833e-12
2.703241332654649e-13,3.3394042273968004e-13
-1.529562081917846e-14,-1.7379145807005356e-14
2.019626939754107e-15,1.7742806864814681e-15
-8.574060383554417e-16,2.0186491805666884e-15
-2.6348788960535507e-15,-2.7134541999876172e-15
3.4009176568067665e-15,2.794416930353498e-15
-2.1140437109106548e-15,-3.3149837734158034e-15
-1.4020885754470293e-15,-5.020734069767317e-16
1.8104192380023952e-16,1.0329215725719709e-15
3.739678609138585e-15,1.5221819033897113e-16
-2.506856601140306e-15,-1.3856034939472636e-15
-4.392616396627558e-15,-6.767402346072263e-16
8.500803845181611e-15,1.6572577432211994e-15
-6.7399671567901844e-15,9.861912337563654e-16
2.351481648708372e-15,-1.2969570934528045e-16
1.8831519074167538e-15,9.500888328694644e-16
-2.5679861125561066e-15,-2.732926626018582e-15
-3.555322044440604e-15,2.92276590792734e-15
1.5675655137240533e-15,-2.5282139149454816e-15
2.2704329520274032e-15,6.997353160702561e-16
3.795218561534523e-15,-6.85574117219094e-16
-1.766835292693176e-15,-1.4708189239829377e-15
-2.03046048854213e-15,-5.137703303454242e-16
-9.930989500548228e-16,6.786423448277622e-16
1.0874260556891847e-15,2.0800972437467467e-15
-5.181995427362221e-15,-1.92087128594772e-15
4.813716473519754e-15,3.7255543874079845e-16
-3.2034104913134893e-15,-6.961488745370492e-16
6.052948353295852e-15,1.3253151421929074e-15
1.1900542279534145e-15,-1.2873302025512339e-15
-2.6699583817753614e-15,-2.0629050817678463e-16
-2.4300270497359792e-15,-1.187322004374535e-15
-4.827159821040606e-15,7.1750066684618735e-16
6.975044591504529e-15,7.565632963056974e-16
-4.3920618626155104e-15,1.8597613027277755e-15
-6.749506556751659e-16,-4.27096735292003e-15
-3.0090185292515978e-15,-1.3538067755911795e-15
4.817178086120859e-15,3.384127208316142e-15
-4.0609917412579825e-15,-2.626694850673687e-15
4.474068976588932e-15,3.959917360626526e-15
-2.072781089833885e-15,-3.3969173330921893e-15
-2.163881559427757e-15,-8.230213193089995e-16
1.4400848890520395e-15,1.4069515489190032e-15
5.651716529206965e-16,-1.6659801899792536e-15
-1.5132117737267967e-16,3.0523739070515456e-15
-1.4083727460796855e-15,-1.0408803799884826e-15
1.782098842677932e-15,1.9980978096002213e-15
-9.09322431596314e-16,-3.693162903937837e-15
3.5234039866563603e-15,1.946925774885635e-15
-3.4114187398340493e-15,2.557337034908391e-16
1.023372667285057e-15,-1.686712956466349e-15
-5.22110358984992e-15,2.174931929510771e-15
5.174668587891713e-15,-1.670149924022344e-15
-5.642388827000515e-15,2.225582624684665e-15
5.486451147878596e-16,-1.1536716343565378e-15
5.734214638138843e-15,2.007890320635491e-15
-3.6780904277377864e-16,-3.884629612096274e-15
-1.3777282787532216e-15,2.9012871497620614e-15
2.3564346568259198e-15,-2.5088207607224044e-15
1.5920091751831378e-15,1.5475924298471747e-16
-2.0075131503092055e-15,2.5460618158487176e-15
-1.1686991384651319e-15,-1.9578545349037152e-15
1.6203567637291155e-15,1.761168881285332e-15
-4.483345987916149e-16,3.481856924196709e-17
-4.075827770828088e-15,-2.6484908456345767e-15
3.5736750514991294e-15,2.6443786839842186e-15
-8.441599819359135e-16,-2.006230204419789e-15
3.7541451147676585e-16,2.2285447942901747e-15
1.232036747017072e-15,-2.7082585713332386e-15
-8.893571127105261e-16,2.677404042786834e-15
-2.956110513194203e-15,-1.5836890858742272e-15
