step,robot_16_vx,robot_16_vy,robot_17_vx,robot_17_vy
0,1.0,0.0,1.0,0.0
1,0.9932383149862289,-0.11609291657805443,-0.9932383894920349,0.1160927303135395
2,0.9932383149862289,-0.11609291657805443,-0.9730449318885803,0.23061558604240417
3,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
4,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
5,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
6,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
7,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
8,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
9,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
10,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
11,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
12,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
13,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
14,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
15,0.9999917447566986,0.004072439041920006,-0.9999815374612808,-0.006078833830542862
16,0.599995069205761,0.0024434609804302454,-0.5999889597296715,-0.0036473004729487
17,0.599995069205761,0.0024434609804302454,-0.5999889597296715,-0.0036473004729487
18,0.7445680350065231,0.09010263718664646,-0.7443857192993164,-0.09159630164504051
19,0.4999958723783493,0.0020362157374620438,-0.4999907687306404,-0.003039416915271431
20,0.49637865275144577,0.06006842479109764,-0.4962571710348129,-0.061064199544489384
21,0.4999958723783493,0.0020362157374620438,-0.4999907687306404,-0.003039416915271431
22,0.5168986320495605,-0.5434297397732735,-0.5179880186915398,0.5423914268612862
23,0.5764918401837349,-0.4797469824552536,-0.577453263103962,0.4785893112421036
24,0.4705388471484184,-0.169095229357481,-0.47087717801332474,0.16815079376101494
25,0.5764918401837349,-0.4797469824552536,-0.577453263103962,0.4785893112421036
26,0.8377187699079514,-0.5461019277572632,-0.577453263103962,0.4785893112421036
27,0.6715897470712662,-0.333867147564888,-0.6291095167398453,0.4083150625228882
28,0.628289058804512,-0.4095764458179474,-0.577453263103962,0.4785893112421036
29,0.628289058804512,-0.4095764458179474,-0.577453263103962,0.4785893112421036
30,0.6715897470712662,-0.333867147564888,-0.6291095167398453,0.4083150625228882
31,0.6715897470712662,-0.333867147564888,-0.6291095167398453,0.4083150625228882
32,0.4188593849539757,-0.2730509638786316,-0.3849688544869423,0.3190595284104347
33,0.6715897470712662,-0.333867147564888,-0.41940636932849884,0.2722100354731083
34,0.6715897470712662,-0.333867147564888,-0.41940636932849884,0.2722100354731083
35,0.4188593849539757,-0.2730509638786316,-0.1505059003829956,0.1996195875108242
36,0.9739759564399719,-0.22665128111839294,-0.49696289002895355,0.05502650048583746
37,0.2352694235742092,-0.0845476146787405,-0.4481722041964531,0.22167926654219627
38,0.6715896725654602,-0.333867184817791,-0.7063157856464386,0.25222619995474815
39,0.9927573055028915,0.12013684958219528,-0.9999815374612808,-0.006078595179133117
40,0.9999917447566986,0.0040724314749240875,-0.9999815374612808,-0.006078595179133117
41,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
42,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
43,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
44,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
45,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
46,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
47,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
48,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
49,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
50,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
51,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
52,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
53,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
54,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
55,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
56,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
57,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
58,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
59,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
60,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
61,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
62,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
63,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
64,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766910001635551
65,0.9796370565891266,0.2007768116891384,-0.9802687913179398,-0.19766932353377342
66,0.9796370565891266,0.2007768116891384,-0.9802687913179398,-0.19766910001635551
67,0.9796370565891266,0.20077679306268692,-0.9802687913179398,-0.19766932353377342
68,0.0,0.0,-0.9802687913179398,-0.19766910001635551
