px,py,nominal_x,nominal_y
0.5008310249139037,1.1999999779473176,0.515,1.2
0.5174515302310994,1.1999995604661817,0.53,1.2
0.5498616259246014,1.1999991915754658,0.545,1.2
0.5980610107450041,1.1999992255566183,0.56,1.2
0.6620496936218146,1.1999988322218276,0.575,1.2
0.7418278630345114,1.1999844724980666,0.59,1.2
0.8366594879118999,1.2000165385249364,0.605,1.2
0.9324253262990225,1.2010449773551697,0.62,1.2
1.0139147732670428,1.2081995189246568,0.635,1.2
1.090640452619846,1.2294552689053078,0.65,1.2
1.1822352325587104,1.2539031393261606,0.665,1.2
1.281583780907126,1.2647095509959914,0.6799999999999999,1.2
1.3814788359180332,1.260296171592113,0.6950000000000001,1.2
1.4810377335823992,1.2509622648544125,0.71,1.2
1.580559893871983,1.2411915366616972,0.725,1.2
1.6797755863172537,1.2313714462855152,0.74,1.2
1.7729138986834676,1.222249292794658,0.755,1.2
1.8503859735928767,1.214711681450092,0.77,1.2
1.9121971235936481,1.2088118987583851,0.7849999999999999,1.2
1.9582759612361496,1.2042597985968357,0.8,1.2
2.0,1.2,0.815,1.2
2.0,1.2,0.83,1.2
2.0,1.2,0.845,1.2
2.0,1.2,0.86,1.2
2.0,1.2,0.875,1.2
2.0,1.2,0.89,1.2
2.0,1.2,0.905,1.2
2.0,1.2,0.9199999999999999,1.2
2.0,1.2,0.935,1.2
2.0,1.2,0.95,1.2
2.0,1.2,0.965,1.2
2.0,1.2,0.98,1.2
2.0,1.2,0.995,1.2
2.0,1.2,1.01,1.2
2.0,1.2,1.025,1.2
2.0,1.2,1.04,1.2
2.0,1.2,1.055,1.2
2.0,1.2,1.0699999999999998,1.2
2.0,1.2,1.085,1.2
2.0,1.2,1.1,1.2
2.0,1.2,1.115,1.2
2.0,1.2,1.13,1.2
2.0,1.2,1.145,1.2
2.0,1.2,1.16,1.2
2.0,1.2,1.1749999999999998,1.2
2.0,1.2,1.19,1.2
2.0,1.2,1.205,1.2
2.0,1.2,1.22,1.2
2.0,1.2,1.2349999999999999,1.2
2.0,1.2,1.25,1.2
2.0,1.2,1.2650000000000001,1.2
2.0,1.2,1.28,1.2
2.0,1.2,1.295,1.2
2.0,1.2,1.31,1.2
2.0,1.2,1.325,1.2
2.0,1.2,1.3399999999999999,1.2
2.0,1.2,1.355,1.2
2.0,1.2,1.37,1.2
2.0,1.2,1.385,1.2
2.0,1.2,1.4,1.2
2.0,1.2,1.415,1.2
2.0,1.2,1.43,1.2
2.0,1.2,1.4449999999999998,1.2
2.0,1.2,1.46,1.2
2.0,1.2,1.475,1.2
2.0,1.2,1.49,1.2
2.0,1.2,1.505,1.2
2.0,1.2,1.52,1.2
2.0,1.2,1.535,1.2
2.0,1.2,1.55,1.2
2.0,1.2,1.565,1.2
2.0,1.2,1.58,1.2
2.0,1.2,1.595,1.2
2.0,1.2,1.6099999999999999,1.2
2.0,1.2,1.625,1.2
2.0,1.2,1.64,1.2
2.0,1.2,1.655,1.2
2.0,1.2,1.67,1.2
2.0,1.2,1.685,1.2
2.0,1.2,1.7,1.2
2.0,1.2,1.7149999999999999,1.2
2.0,1.2,1.73,1.2
2.0,1.2,1.7449999999999999,1.2
2.0,1.2,1.76,1.2
2.0,1.2,1.775,1.2
2.0,1.2,1.79,1.2
2.0,1.2,1.805,1.2
2.0,1.2,1.8199999999999998,1.2
2.0,1.2,1.835,1.2
2.0,1.2,1.8499999999999999,1.2
2.0,1.2,1.865,1.2
2.0,1.2,1.88,1.2
2.0,1.2,1.895,1.2
2.0,1.2,1.91,1.2
2.0,1.2,1.925,1.2
2.0,1.2,1.94,1.2
2.0,1.2,1.9549999999999998,1.2
2.0,1.2,1.97,1.2
2.0,1.2,1.9849999999999999,1.2
2.0,1.2,2.0,1.2
