x,y,nominal_x,nominal_y
13.0,32.0,13.0,32.0
13.095782,31.971266,13.03,31.991
13.191565,31.942532,13.06,31.982
13.287347,31.913797,13.09,31.973
13.383129,31.885063,13.12,31.964
13.478911,31.856329,13.15,31.955
13.574694,31.827595,13.18,31.946
13.670476,31.798861,13.21,31.937
13.766258,31.770126,13.24,31.928
13.862041,31.741392,13.27,31.919
13.957823,31.712658,13.3,31.91
14.053605,31.683924,13.33,31.901
14.149387,31.65519,13.36,31.892
14.24517,31.626455,13.39,31.883
14.340952,31.597721,13.42,31.874
14.436734,31.568987,13.45,31.865
14.532516,31.540253,13.48,31.856
14.628299,31.511518,13.51,31.847
14.724081,31.482784,13.54,31.838
14.819863,31.45405,13.57,31.829
14.915646,31.425316,13.6,31.82
15.011428,31.396582,13.63,31.811
15.10721,31.367847,13.66,31.802
15.202992,31.339113,13.69,31.793
15.298775,31.310379,13.72,31.784
15.394557,31.281645,13.75,31.775
15.490339,31.252911,13.78,31.766
15.586122,31.224176,13.81,31.757
15.681904,31.195442,13.84,31.748
15.777686,31.166708,13.87,31.739
15.873468,31.137974,13.9,31.73
15.969251,31.10924,13.93,31.721
16.065033,31.080505,13.96,31.712
16.160816,31.051771,13.99,31.703
16.256599,31.023037,14.02,31.694
16.352383,30.994303,14.05,31.685
16.448166,30.965569,14.08,31.676
16.543949,30.936834,14.11,31.667
16.639732,30.9081,14.14,31.658
16.735516,30.879366,14.17,31.649
16.831299,30.850632,14.2,31.64
16.927082,30.821898,14.23,31.631
17.022865,30.793163,14.26,31.622
17.118649,30.764429,14.29,31.613
17.214432,30.735695,14.32,31.604
17.310215,30.706961,14.35,31.595
17.405998,30.678226,14.379999999999999,31.586
17.501781,30.649492,14.41,31.577
17.597565,30.620758,14.44,31.568
17.693348,30.592024,14.47,31.559
17.789131,30.56329,14.5,31.55
17.884914,30.534555,14.53,31.541
17.980698,30.505821,14.56,31.532
18.076481,30.477087,14.59,31.523
18.172264,30.448353,14.62,31.514
18.268047,30.419619,14.65,31.505
18.363831,30.390884,14.68,31.496
18.459614,30.36215,14.71,31.487
18.555397,30.333416,14.74,31.478
18.65118,30.304682,14.77,31.469
18.746964,30.275948,14.8,31.46
18.842747,30.247213,14.83,31.451
18.93853,30.218479,14.86,31.442
19.034313,30.189745,14.89,31.433
19.130096,30.161011,14.92,31.424
19.22588,30.132277,14.95,31.415
19.321663,30.103542,14.98,31.406
19.417446,30.074808,15.01,31.397
19.513229,30.046074,15.04,31.388
